"invalid_password","before and after the password is inconsistent"
"format_not_support","file format not supported"
"format_not_same","file format is inconsistent"
"file_too_big","The uploaded file is too large or malformed"
"water_image_not_exists","watermark image does not exist"
"tpl_installed_ok","template into success"
"login_false","Login failed"
"tpl_not_exists","Template file does not exist"
"file_not_writeable","file is not written"
"db_restored","Database restore successful"
"admin_runquery_forbidden","administrator has disabled this feature, modify the configs/config.inc.php turn this feature"
"open_passport_support_first","Please pass feature enabled"
"watermark_word_error","Watermark Text Color format not correct"
"yet_some_ads","Some of the advertising in the ad, please delete!"
"plugin_installed_and_config","plug-in installed successfully, click the Settings"
"account_expired","administrator account has expired"
"license_not_exists","LICENSE file does not exist"
"title_cant_be_empty","title can not be empty"
"content_cant_be_empty","content can not be empty"
"pls_complete_company_info","Please <a href="company.php"> Click here to improve </a> basic information on your business"
"have_no_perm","You do not have permission to %s"
"company_checking","Your information is being reviewed"
"after_check_company_visit","Please wait for review and then visit%s"
"space_name_exists","space name already exists, please re-enter"
"plugin_not_exists","plug-in does not exist"
"user_not_exists_or_deleted","user does not exist, or deleted"
"passwd_error","password"
"username_not_level","User name not valid"
"username_not_legal","contains the word is not allowed to register"
"email_not_allowed","Email does not allow registration"
"email_hasbeen_used","This Email is already registered"
"write_file_error_and_retry","file write failed, please check and try again"
"pls_enter_your_advise","Please enter your comments or suggestions submitted to try again. "
"cant_del_founder","unless you cancel the website, or founder of the administrator account can not be deleted. "
"not_enough_point","The operation of your points is not enough"
"one_time_within_24_h","24 hours can only be top again "
"only_one_time_within_hours","in the specified hours only updated once a"
"special_name_not_exists","specify the topic does not exist"
"pls_input_product_name","Please enter the product name"
"product_quote_not_exists","does not exist in any market the product information"
"cached_and_refresh","cache has been updated, click to re-visit"
"login_success","Login successful"
"login_wrong_passwd","Pass: password error"
"logout_success","quit success"
"pp_elegal_username","Pass: the user name is not lawful"
"pp_not_allowed_words","Pass: Includes not allowed to register the words"
"pp_username_exist","Pass: the user name already exists"
"pp_email_not_allowed","Pass: Email are not allowed up in the"
"pp_email_registerd","Pass: the Email has already been registered"
"trade_no_error","order number is wrong"
"pay_success","Congratulations, payment success! "
"pay_error","Sorry, payment failed! "
"error_occured","<a href=""%site_url%"">%site_url%</a> has detailed records of this error message,which brings you access to the inconvenience We are deeply sorry. "
"backup_and_wait","'Don't close,Backing up-%s-file,If the stop does not move, you can click here<br><img src="images/loading.gif" />'"
