"admingroup","Admin Group"
"fill_in_the_sub_domain_name_suffix","If enabled, please fill out the secondary domain name suffix, for example. yourdomain.com (front must be.)"
"static_url","URL of static:"
"direct_access_to_url","direct access to the steering Address:"
"direct_access_to_url_description","URL to directly access the specified turn address, if specified, the user by entering your domain name visit the Web site, it will point to the page; If not specified, the default is the root directory index.php"
"enterprise_space_named","Enterprise space named:"
"register_file_name","up the file name:"
"free_post_trade_file_name","Free Post Trade File Name:"
"allow_new_user_registration","Allow new user registration:"
"general","normal"
"invite","invitation"
"agreement","protocol:"
"new_user_registration_check","New User Registration must review:"
"email_verification","Email Verification"
"audit_verification","Audit Manager"
"exclude_ip_address_list","exclude the IP address:"
"shield","mask:"
"ip_registration_interval","the same IP registration interval limits:"
"units_per_hour","units per hour, 0 for no restriction"
"send_welcome_message","Send welcome message:"
"mail_sent_by","Mail sent by:"
"built_in_mail_server","using the built-in Mail Server Service (recommend this way)"
"other_smtp_server","using other SMTP service"
"smtp_server_url","SMTP server address:"
"smtp_server_port","SMTP server port:"
"requires_authentication","SMTP requires authentication:"
"sender_from","sender mail address:"
"sender_name","Sender address:"
"smtp_authentication","SMTP authentication"
"unless_necessary_or_do_not_fill","unless necessary, or do not fill, such as Gmail mailbox needs to be set ssl"
"test","test"
"security_key","security key:"
"used_to_identify_the_site_as_a_unique_string","used to identify the site as the only string"
"company_name_copyright_information","company name, copyright information is displayed in a number of statements"
"service_hotline","Customer service hotline:"
"sales_hotline","Sales:"
"service_qq","customer service QQ number:"
"service_msn","Messenger account:"
"service_email","Customer Service Email Address:"
"sell","supply"
"buy","buy"
"appear_in_the_navigation_bar","will appear in the navigation bar, and site presentation"
"appear_in_the_page_title","The title will appear in the page title"
"sub_title","subtitle:"
"will_be_displayed_in_banner","the posters will be displayed on the site of the propaganda"
"logo_url","Logo address:"
"no_http_means_local_url","Logo of the address, if no HTTP://, compared with local"
"guest_post_trade","Guest Posted supply and demand information"
"the_link_will_be_displayed_in_the_bottom_of_the_page","URL, the link will be displayed in the bottom of the page, must be '/' end"
"icp_info","record message code:"
"icp_will_be_shown_at_the_footer","If the site has been filed, enter your information on ICP for the record, it will display at the bottom of the page, if not please leave blank"
"consulting","consultation"
"suggestion","recommendations"
"complaints","complaints"
"Watermark","Watermark"
"text","text"
"color","color"
"font","font"
"small_picture","thumbnail"
"big_picture","big picture"
"middle_picture","in"
"the_default_is_site_url","default web address"
"retained_original","keep original"
"size","size"
"main_page_static_cache","main page static cache:"
"business_office_data","Commercial Office Data"
"enterprise_spatial_data","Enterprise Spatial Data"
"tag_data","tag data"
"seconds_the_default_is_3600_seconds","seconds, the default is 3600 seconds, that an hour, 0 means no cache"
"check_if_the_template_changes","whether to check the template changes:"
"if_enabled_will_automatically_update_the_cache","If enabled, then when the template changes, the system automatically update the cache, the default is not checked"
"message","message"
"system_information","System Information"
"server_operating_system","server operating system:"
"web_server","WEB server:"
"php_version","PHP version:"
"program_version_and_encoding","program version and encoding:"
"installation_date","Install Date:"
"php_gd_support","GD library support:"
"today_is","Today is:"
"last_login_ip","Last Login IP Address:"
"mysql_version","MYSQL version:"
"about","about"
"check_update","Check for updates"
"used","used"
"safety_tips","Safety Tips"
"please_keep","SAVE"
"site_key","site key"
"for_more_information_go_to_set","To re-set go"
"security_prompt","secure authentication"
"re_cover","re-covered."
"if_you_want_to_continue_to_enable","If you want to enable"
"update_reminder","Update Reminder"
"please_reset","Please try again"
"set_reminder","set reminder"
"and_refresh_the_page","and refresh the page."
"view_the_calling_code","View the calling code"
"click_copy_to_clipboard","click to clipboard"
"work_area","workplace"
"job_description","job description"
"gender_require","Sex"
"number_of_people","Number"
"academic_requirements","academic requirements"
"age_requirement","Age"
"wages_level","salary level"
"nature_of_work","nature of work"
"expires_approach","expires approach:"
"top_time_to_spend_points","top to spend time points:"
"resent_the_minimum_number_of_days","allow the re-issued the minimum number of days:"
"update_interval","allow the update interval:"
"data_filtering","Category Home data filtering:"
"filtering_the_same_user_information","If enabled, the page will filter in the module information published by the same user to display more similar to other user's information"
"you_can_use_the_tag_call","You can use the tag call %s"
"if_invisible","is hidden"
"buyer","buyers"
"seller","suppliers"
"gd_picture_ok","support for %s"
"show_name","Display Name:"
"show_name_n","Display Name"
"wbmp_ok","support mobile Wap browsing pictures BMP"
"without_this_ext","does not support this extension"
"live_times","open,1 week,1 month,3 months,6 months,1 year,5 years"
"your_first_login","The first time you log on today"
"or","or"
"other_templet","other templates"
"welcome_to_cp","Welcome to %s"
"setting_offer_expired","continue to show,does not handle|continue to show,but the prompt date|Hide,but allows you to view|hide at the same time prompted expired"
"templet_style","Template Style"
"setup","enable"
"manage","Management"
"no_limit","Open"
"edit","edit"
"delete","delete"
"preview","Preview"
"click_preview","Click to Preview"
"uninstall","Uninstall"
"install","install"
"search","query"
"keywords","Keywords:"
"directory","directory"
"author","author"
"screenshot","Legend"
"action","action"
"templet_name","template name"
"data_zone","Data Area"
"no_datas","record not found"
"alert_no","no reminder"
"alert_after_week","a week later to remind"
"close","Close"
"use_other_account","log in again with another account"
"off","Logout"
"set_your_personal_info","Set Personal Information"
"account_set","Account"
"back_to_homepage","Back Home"
"browse_homepage","Site"
"refresh_the_page","Refresh"
"refresh","Refresh"
"control_login","Login %s"
"pls_input_username","Please enter your user name"
"pls_input_passwd","Please enter the password"
"pls_input_authcode","Please enter the verification code is not case sensitive"
"phpb2b_info","<span>PHPB2B</span> is a use of PHP and <span> MySQL </span> database construction and efficient management system for e-commerce website industry!"
"cp_login_first","Please log in here"
"meet_with_more_phpb2b_users","more people want to share PHPB2B experience with it?"
"cp_username_n","Username:"
"cp_username","username"
"cp_passwd","Password:"
"cp_capt","Verification code:"
"refresh_capt","If you can not see numbers or letters? tap-for-one!"
"cp_forget_passwd","Forgot your password?"
"cp_login","Login"
"return_homepage","Back Home"
"feed_back","feedback"
"save_and_pub","Save pm"
"save_draft","Save draft"
"management","Management"
"add_or_edit","Add/Edit"
"select_switch","Select All/Clear All"
"action_zone","operating area"
"title_keywords","title keyword"
"trade_management","Trades"
"eve_page_display","per page"
"trade_refresh","retransmission"
"set_status","Set Status"
"check_invalid","Audit invalid"
"check_passed","vetted and approved"
"set_urgent","Make urgent"
"expire_date","expiration time"
"checked_status","Approval Status"
"setting","Settings"
"sorts","Category"
"setting_global","global"
"tags","tag library"
"if_valid","is valid:"
"if_valid_n","is valid"
"types","type"
"adzone_type","type of advertising:"
"multi_seperate_by_quot","(number please,No separated)"
"multi_seperate_by_quot_or_space","(number please,number or space separated)"
"save_setting","Save Settings"
"basic_setting","Basic Settings"
"naming_n","Name:"
"naming","Name"
"description_n","Description:"
"user_center","Member Center"
"updating","Update"
"clearing","clean up"
"update_cache","update cache"
"throw_up","upgrade"
"throw_down","sink"
"in_area","Region:"
"in_industry","industry sector"
"db_backup","backup"
"db_restore","Restore"
"db_upgrade","upgrade"
"cp_view","view"
"member","Member"
"topic_news","topic"
"set_headline","Set Headline"
"administrator","administrator"
"record_amount","quantity"
"the_title","Title"
"title","Title"
"member_name","Member name"
"picture","image:"
"pls_select","select"
"on_sending","Sending"
"site_desc","Site Description"
"site_desc_n","site description:"
"site_desc_and_show","on a simple description of your site information will be displayed at the relevant site description"
"config_your_info","easy to manage and configure a variety of information resources"
"manage_your_ads","published online advertising for your website profitable"
"set_site_secure","set the site security authentication, filtering invalid information"
"template_name","template name:"
"if_default","Does default:"
"default","default"
"click_ctrl_n_select","(hold down the Ctrl key can be selected, if you do not change Please do not select)"
"type_sort","Type:"
"feed_revert","replied"
"feed_problem","problem"
"title_or_keywords","title or keyword"
"do_not_close_when_doing","being processed, do not close the window ..."
"attachments","Attachments:"
"n_grade","Grade Category"
"category_keyword","category name keyword"
"show_status","display state"
"show_it","show"
"hide_it","hidden"
"grade_sample","Rating Example"
"display_order","Sort"
"if_want_add_click_enter","If you need to add a new category, press Enter and the line"
"caches","cache"
"position","position"
"if_online","is on the line"
"set_offline","offline"
"set_online","on line"
"ad_show_title","text ads"
"full_please","Please add"
"content_digest","Abstract"
"page_display_order","Page Order"
"old_password","Old Password:"
"new_password","new password:"
"re_input_new_password","Zaishu a new password:"
"change_password","Change Password"
"simple_name","Slug:"
"link_url","URL:"
"detailed_contents","Details:"
"all_options","all options"
"labels","label:"
"label","label"
"type_name","Type Name"
"var_name","variable value"
"param_type","belongs to type:"
"param_value","parameter value:"
"password_edit","password change"
"add_new_type","Add New Type"
"make_javascript_code","JS generated code"
"add_ads","Add Ads"
"one_line_one_category","line represents a category:"
"press_enter_add_new","If you need to add a new category, press Enter and the line"
