"latest_browse","最近浏览"
"news_market","最新市场库信息"
"quote_center","行情中心"
"latest_price","最新报价"
"nominate_market","推荐市场"
"search_more_market","搜索更多专业市场"
"regional_sub_station","各地区分站"
"i_would_join","我要加入"
"new_add_market","最新加入市场"
"new_added","最新加入"
"new_offer","最新供求"
"introduction","简介："
"industry_recommended","所在行业推荐"
"area_recommended","所在地区推荐"
"not_exist_market","如果您确认不存在您的市场，"
"click_us","请直接点击告诉我们。"
"select_buy_service","请选择您要购买的服务"
"member_upgrade","商业服务"
"commercial_service","会员升级"
"add_charge","充值"
"buy_advertising","购买广告位"
"applicant_name","申请人名称："
"buyer_name","会员名称："
"adzone_type","广告位类型："
"charge_value","充值金额："
"applicant_name_conditions","（4-20个字符（A-Z， a-z， 0-9，下划线）"
"applicant_type","申请服务类型："
"modify","修改"
"select_pay_method","请选择支付方式："
"description","说明："
"next_step","下一步"
"online_pay","在线支付"
"correct_operation","请您按照选项正确操作"
"confirm_pay_amount","请慎重确认您要支付的金额，支付成功的话，该款项将由本站直接划入您在本系统账户上，敬请关注您的余额。如果您正在进行交易，请确保您支付的金额不少于您的交易金额。"
"pay_amount","支付金额："
"pay_description","支付说明："
"next_pay_amount","下一步，在线支付"
"reg_success","注册成功"
"welcome_join","欢迎您加入"
"you_continue_next","您可以继续进行以下操作，或者"
"into_office_room","进入商务室"
"back_index","返回首页"
"complete_pro_date","1、完善个人资料："
"need_complete_pro_date","发布供求信息、提交产品资料，均需要有完善的个人联系资料，"
"click_here_add","点击此处添加"
"added_comany_info","2、补充企业信息："
"open_company_website","开通企业网站，发布企业招聘，交换友情链接，请您"
"click_perfect","点击此处完善企业资料"
"now_you_are","您现在是："
"member_reg","会员注册"
"member_login_name","会员登录名："
"member_login_name_conditions","5-20字(A-Z,a-z, 0-9,下划线)"
"email_conditions","非常重要！这是客户与您联系的首选方式，并确认是您最常用的电子邮件。"
"password_conditions","6-20位，不能与用户名相同； 建议为英文字母(a-z)和数字(0-9)结合。"
"re_enter_password","再次输入密码："
"re_enter_up_password","请再输入一遍您上面填写的密码。"
"input_code","输入验证码。"
"see_agree","我已看过并同意《<a href="javascript:;" id="SeeAgreement">网站服务条款</a>》"
"choose_reg_type","选择注册类型"
"choose_reg_type_conditions","请选择您注册的会员类型，以便结交潜在的商业伙伴，获取商业机会！"
"personal_member","个人会员"
"personal_member_intro","您可以在本网免费发布供应信息、求购信息。"
"enterprise_member","企业会员"
"enterprise_member_intro","您可以拥有自己的企业网站；<br />您可以建立自己的产品库、企业相册；<br />您可以自由发布招聘信息。"
"adv_member_reg","高级会员申请。"
"adv_member_fill","请详细填写下表，我们的工作人员在收到你的订单后会第一时间与您取得联系，如有注册问题，请联系我们："
"adv_member_name","申请人名称"
"adv_member_name_conditions","（4-20个字符（A-Z， a-z， 0-9，下划线）"
"application_service_type","申请服务类型"
"close_widow","关闭窗口"
"print_page","打印本页"
"views","浏览量："
"related_info","相关资讯"
"industry_info","行业资讯"
"category_nav","分类导航"
"latest_news","最新资讯"
"industry_focus","行业聚焦"
"synthesis_info","综合资讯"
"hot_info_top","热门资讯排行"
"effective_date","有效日期："
"free_release_offer","免费发布供求信息"
"i_not_member","我还不是网站会员"
"join_now","立即注册成为会员"
"base_info","基本信息内容"
"post_offer_steps","发布商机步骤："
"write_base_info","填写基本信息"
"write_contact","填写联系方式"
"release_complete","发布完成"
"within_sixteen_words","（16个字以内）"
"offer_direction","供求方向"
"info_title","信息标题"
"expire_date","有效期"
"not_must_content","选填信息内容"
"product_description","1、建议您描述以下方面：产品的性能及优点、用途、售后服务、包装等。"
"product_description_using_image","2、为避免不必要的纠纷，请使用原创图片；"
"contact_address","联系地址："
"company_name","公司名称："
"immediate_release","立即发布"
"tags_more","（多个标签请用空格隔开）"
"content_required","“<span class="star">*</span>”内容为必填项"
"contact_required","这是客户与您联系的首选方式，请一定填写真实。"
"inner_business_name","国内注册企业请用中文填写在工商局注册的全称，如："
"no_company_should_name","无商号的个体经营者填写执照上姓名，并标注个体经营。如：李四（个体经营）"
"preferred_tel","首选联系电话"
"number","号码："
"preferred_im","首选即时通讯"
"all_sort","所有分类"
"all_area","所有地区"
"search_result","搜索结果"
"search_in_keyword","搜索关键字：%s"
"area","所在地区："
"area_n","所在地区"
"email","E-mail电子邮箱："
"keyword","关键词："
"nick_name","用户名称："
"get_password","取回密码"
"new_password","新密码："
"reset_password","重设密码："
"set_new_password","输入你想设置的新密码："
"re_enter_new_password_n","再次输入新密码："
"send_password_email_next","下一步，发送密码邮件"
"user_authentication","用户名验证："
"contact","联系方式："
"login","登陆"
"screening","筛选"
"industry_screening","按行业筛选："
"sort_screening","按分类筛选："
"fast_screening","快速筛选："
"belong_industry","所属行业："
"telephone","联系电话："
"no_subclass","该分类下无子分类"
"login_your_account","你的登录帐号"
"input_name_password","请输入你的会员登录名及密码："
"input_info_reset_password","请在下方输入必要的信息以便帮助你重新设置你的密码："
"submit_reset_password","提交并重设密码"
"login_name","您的登录名："
"issue_contact","如有注册问题，请联系我们："
"contact_us","联系我们"
"fill_reg_info","填写基本信息"
"today_is","今天是"
"stored_product","库存商品"
"offer_introduction","<li>免费推广产品</li><li>免费宣传公司</li><li>查找买家信息</li><li>结交商业伙伴</li>"
"reg_and_upgrade_vip","想开展网上贸易，提升销量？<br />推荐您选择金牌会员：<br /><br />"
"free_post_tip","如果您已经是%s注册会员，可登录后发布求购信息，实现对您所发布的求购信息进行<span style='color:red'>修改、重发、删除</span> 等操作。"
"enter_the_words_in_pic","输入图片中看到的字符"
"enter_correct_username_pls","请输入正确的用户名"
"enter_password_pls","请输入密码"
"enter_email_pls","请输入Email地址"
"check_failed","验证失败"
"search_amount","搜索统计"
"search_by_category","按分类搜索"
"similar_news","相关资讯"
"similars","相关"
"news_membertype_not_allowed","您所在的会员组不允许查看该资讯"
"executed_times","本次查询共花费了%s秒"
"search_result_n","查询结果："
"refer_info","参考资料："
"refer_content","释义："
"word_name","词条名称"
"hot_words","热门词条"
"latest_words","最新词条"
"similar_words","相关词条"
"dict_digest","词典简介"
"dict_digest_content","为了解决业内人士在查阅翻译相关资料中的语言障碍问题，%s经过一段时间的整理工作,推出专业词典应用分站，希望能够为大家在工作中带来更大的便利，不断完善行业词典，为行业发展做出贡献。"
"no_time_limit","所有时间范围"
"least_three_days","近3天"
"least_ten_days","近10天"
"least_thirty_days","近30天"
"account_n_email_n_mobile","登录名/电子邮箱"
"to_price","我要报价"
"how_bump_to_top","如何置顶?"
"linked_product_price","该产品相关报价"
"focus_user_service","关注用户体验 打造满意服务"
"service_for_your_internet","全天候为您提供互联网服务"
"brands_with_letter","以字母%s开头的品牌"
"other_brands","其他品牌"
"similar_brands","同类品牌"
"problems","问题"
"answers","答复"
"status","状态"
"reply_time","答复时间"
"force_time","颁布时间"
"answered","已答复"
"no_answer","未答复"
"answer_content","答复内容"
"latest_tips","最新提示"
"click_and_preview","点击查看"
"service_client","客户服务协议"
"latest_new","最新"
"latest_hot","最热"
"area_prices","各地报价"
"sort_by_pinyin","拼音索引："
"sort_by_alpha","字母索引："
"all_product_categories","所有产品分类"
"similar_product","相关产品"
"visit","访问"
"av_price","均价"
"service_type","反馈类型"
"redirect_title","页面无法找到"
"no_brand_and_add","该分类下还没有任何品牌资料，是否<a href="virtual-office/brand.php?do=edit">立即添加...</a>"
"the_title","标题："
"title","标题"
"your_name","您的称呼："
"your_email","您的Email："
"added_content","补充内容："
"latest_search","最近搜索："
"quote_search","组合查询"
"open_in_new_window","在新窗口中打开"
"set_your_style","配置您偏爱的颜色："
"months","一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月"
"stat_charts","统计图"
"quote_stat_charts","价格行情统计表"
"max_price","最高价："
"low_price","最低价："
"update_time","更新："
"visit_full_content","查阅全文"
"visited","人浏览"
"searching_product","查询产品："
"puglish_time","发布时间"
"this_month","本月"
"this_week","本周"
"today_hours","最近24小时"
"strip_announce","<strong>免责声明：</strong>%s对%s上刊登的所有信息未声明或保证其内容的正确性或可靠性；您同意将自行加以判断并承担所有风险，%s有权但无此义务，改善或更正所刊登信息任何部分之错误或疏失。"
"company_direct","企业直达"
